frame,timestamp,movement_type,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle
158.0,2.6334,left-uppercut,"0.5476,0.5076,0.0176","0.3614,0.5105,0.0294","0.5732,0.5960,-0.1506","0.3147,0.5984,-0.1384","0.5358,0.5250,-0.3765","0.3524,0.5411,-0.3917","0.5296,0.6943,0.0048","0.4087,0.6933,-0.0048",0.548252,0.507388,0.019880000000000002,0.362124,0.5103920000000001,0.034164,0.573876,0.595248,-0.150352,0.314056,0.5983,-0.132324,0.5335,0.523208,-0.370684,0.35116,0.542952,-0.381952,0.5303720000000001,0.694592,0.004644,0.40894,0.693392,-0.004672,134.05807135286935,131.5155806306893,57.193076760502535,59.36198884290855
159.0,2.65,left-uppercut,"0.5497,0.5086,0.0195","0.3640,0.5119,0.0333","0.5736,0.5961,-0.1468","0.3166,0.5997,-0.1333","0.5301,0.5226,-0.3627","0.3536,0.5443,-0.3782","0.5310,0.6967,0.0047","0.4104,0.6955,-0.0047",0.54992,0.5090039999999999,0.02032,0.36492800000000003,0.511916,0.03278,0.5745280000000001,0.59598,-0.150836,0.317064,0.599308,-0.133532,0.5323800000000001,0.522916,-0.369112,0.353564,0.54384,-0.37929999999999997,0.531544,0.695456,0.0049759999999999995,0.41106800000000004,0.694172,-0.005008,133.98940944492847,131.42334068759558,57.44936054378624,59.63916189677609
160.0,2.6666,left-uppercut,"0.5507,0.5101,0.0225","0.3668,0.5127,0.0325","0.5752,0.5964,-0.1527","0.3190,0.6001,-0.1326","0.5301,0.5216,-0.3655","0.3558,0.5454,-0.3718","0.5330,0.6964,0.0051","0.4133,0.6955,-0.0051",0.551792,0.510632,0.021744,0.368056,0.513328,0.031796,0.57542,0.596672,-0.15043600000000001,0.320444,0.60016,-0.134256,0.5318560000000001,0.5229079999999999,-0.367752,0.356088,0.544916,-0.37724,0.532976,0.696156,0.005463999999999999,0.41338400000000003,0.694756,-0.005508000000000001,134.07636986430293,131.54251155686677,57.53493955654721,59.68782539323839
161.0,2.6834,left-uppercut,"0.5526,0.5123,0.0230","0.3714,0.5155,0.0335","0.5768,0.5970,-0.1495","0.3234,0.6007,-0.1319","0.5305,0.5217,-0.3652","0.3579,0.5456,-0.3704","0.5340,0.6971,0.0059","0.4153,0.6956,-0.0060",0.5541039999999999,0.51234,0.023688,0.37162,0.514696,0.031216,0.576536,0.597412,-0.149932,0.32422399999999996,0.600992,-0.134308,0.531852,0.523236,-0.368688,0.358816,0.546252,-0.376108,0.534624,0.696744,0.00608,0.415944,0.695152,-0.0061400000000000005,134.28337273669172,132.04411019538577,57.42193370918141,59.66986919743234
162.0,2.7,left-uppercut,"0.5565,0.5144,0.0250","0.3751,0.5168,0.0329","0.5771,0.5980,-0.1538","0.3281,0.6022,-0.1350","0.5291,0.5207,-0.3703","0.3615,0.5464,-0.3716","0.5352,0.6976,0.0058","0.4167,0.6955,-0.0059",0.556856,0.5140999999999999,0.02622,0.375448,0.515924,0.030812,0.577856,0.5982399999999999,-0.149268,0.32840400000000003,0.6018239999999999,-0.13388799999999998,0.5327520000000001,0.5239119999999999,-0.371112,0.36177999999999993,0.547972,-0.376132,0.536548,0.697244,0.006867999999999999,0.41881199999999996,0.695412,-0.0069440000000000005,134.62056777061375,132.8670706132012,57.13841822192469,59.5513364664418
163.0,2.7166,left-uppercut,"0.5590,0.5159,0.0294","0.3783,0.5172,0.0254","0.5785,0.5985,-0.1495","0.3314,0.6028,-0.1367","0.5319,0.5251,-0.3691","0.3634,0.5492,-0.3729","0.5383,0.6975,0.0079","0.4214,0.6953,-0.0080",0.560008,0.51588,0.028615999999999996,0.37950000000000006,0.517048,0.03024,0.5794720000000001,0.59924,-0.14882,0.332812,0.60258,-0.133644,0.5347440000000001,0.525212,-0.374952,0.36502,0.5500999999999999,-0.378112,0.538772,0.69772,0.00784,0.42201200000000005,0.6956279999999999,-0.007928000000000001,135.14024489001682,133.91567301075818,56.85799680677008,59.48464880630902
164.0,2.7334,left-uppercut,"0.5616,0.5171,0.0339","0.3832,0.5177,0.0277","0.5805,0.5999,-0.1286","0.3373,0.6032,-0.1326","0.5379,0.5284,-0.3504","0.3680,0.5509,-0.3713","0.5412,0.6973,0.0092","0.4262,0.6952,-0.0093",0.563532,0.5177039999999999,0.030947999999999996,0.383732,0.518108,0.0301,0.581416,0.600472,-0.146928,0.33749199999999996,0.603284,-0.132932,0.5379320000000001,0.5271920000000001,-0.37807199999999996,0.368732,0.5525040000000001,-0.381344,0.5411400000000001,0.698252,0.008868,0.425312,0.6958880000000001,-0.008968,135.7880936957864,134.92480782418315,56.41483940628791,59.229868816534875
165.0,2.75,left-uppercut,"0.5690,0.5197,0.0277","0.3899,0.5188,0.0312","0.5833,0.6019,-0.1635","0.3421,0.6042,-0.1320","0.5379,0.5289,-0.4192","0.3719,0.5553,-0.3991","0.5440,0.6981,0.0091","0.4298,0.6955,-0.0092",0.5674159999999999,0.51954,0.033024,0.38797200000000004,0.519148,0.030391999999999995,0.58362,0.6018319999999999,-0.14458,0.342224,0.604012,-0.1315,0.541964,0.5299280000000001,-0.38124399999999997,0.372704,0.5553359999999999,-0.385188,0.54352,0.698944,0.009848,0.428444,0.696284,-0.009956000000000001,136.48937785273725,136.00241710860897,55.799497269888825,58.93616244840039
166.0,2.7666,left-uppercut,"0.5706,0.5219,0.0397","0.3927,0.5202,0.0312","0.5856,0.6031,-0.1516","0.3494,0.6045,-0.1332","0.5479,0.5291,-0.4011","0.3770,0.5589,-0.3965","0.5463,0.6997,0.0122","0.4324,0.6968,-0.0123",0.571204,0.5212760000000001,0.036352,0.391948,0.520128,0.031712000000000004,0.58602,0.603208,-0.137932,0.347064,0.604704,-0.127832,0.54722,0.5335799999999999,-0.378204,0.376924,0.558452,-0.385832,0.5457919999999999,0.699704,0.010796,0.431296,0.696748,-0.010908,137.0180030986128,136.71857928339307,54.73446308875613,57.87549883037803
167.0,2.7834,left-uppercut,"0.5757,0.5229,0.0368","0.3959,0.5216,0.0318","0.5884,0.6051,-0.1490","0.3518,0.6053,-0.1306","0.5498,0.5326,-0.3964","0.3819,0.5617,-0.3934","0.5486,0.7014,0.0122","0.4346,0.6980,-0.0123",0.57496,0.522864,0.040408,0.395744,0.521084,0.034552,0.588572,0.604564,-0.127444,0.35179600000000005,0.605356,-0.121052,0.55292,0.5381600000000001,-0.36985199999999996,0.381212,0.561736,-0.38216,0.547852,0.700408,0.011491999999999999,0.43384,0.69716,-0.011612,137.24613077285343,137.04903079558125,53.12585613740131,56.10235881989853
